기간,자치구,합계,가정용,공공용,서비스업,서비스업,서비스업,서비스업,서비스업,산업용,산업용,산업용,산업용
기간,자치구,합계,가정용,공공용,소계,전철,수도,사업자용,순수서비스,소계,농림어업,광업,제조업
2016.04,합계,"3,457,927","1,037,022","277,966","1,993,057","112,006","51,193","7,167","1,822,691","149,882","1,169",312,"148,402"
2016.04,종로구,"128,344","19,076","18,310","84,666",-,225,147,"84,294","6,292",6,39,"6,247"
2016.04,중구,"182,290","14,513","7,874","141,175",-,28,769,"140,378","18,728",3,17,"18,709"
2016.04,용산구,"100,636","29,885","24,464","44,179",462,516,38,"43,163","2,109",0,5,"2,104"
2016.04,성동구,"145,254","31,010","35,860","53,103",418,"2,703",291,"49,692","25,281",2,40,"25,239"
2016.04,광진구,"119,681","35,416","6,701","74,585","23,440","3,365",238,"47,543","2,979",22,8,"2,949"
2016.04,동대문구,"108,451","38,141","8,803","54,992","4,334",744,152,"49,762","6,514",20,7,"6,488"
2016.04,중랑구,"84,459","39,898","2,892","36,884",113,471,140,"36,160","4,785",34,4,"4,747"
2016.04,성북구,"111,356","47,024","15,282","44,700",-,"1,581",78,"43,042","4,350",23,1,"4,326"
2016.04,강북구,"70,384","31,510","3,337","32,405",-,637,49,"31,719","3,132",10,-,"3,122"
2016.04,도봉구,"69,998","33,761","3,830","27,534",-,552,93,"26,890","4,872",33,-,"4,839"
2016.04,노원구,"116,178","54,532","12,410","46,424",-,"1,251",334,"44,839","2,812",12,-,"2,800"
2016.04,은평구,"102,598","47,679","5,190","48,465","9,656",745,172,"37,892","1,264",11,4,"1,249"
2016.04,서대문구,"91,594","32,615","20,142","37,393",-,"1,028",13,"36,351","1,444",5,1,"1,439"
2016.04,마포구,"150,898","42,822","10,334","95,004",944,835,718,"92,507","2,737",11,0,"2,726"
2016.04,양천구,"121,383","49,505","4,911","65,040",-,758,201,"64,081","1,926",13,15,"1,897"
2016.04,강서구,"158,645","60,028","16,963","76,701","2,519",433,144,"73,605","4,953",249,106,"4,598"
2016.04,구로구,"142,847","44,465","4,122","84,668","19,667",777,236,"63,987","9,592",15,53,"9,524"
2016.04,금천구,"119,248","22,296","1,777","71,141",-,295,119,"70,727","24,033",18,0,"24,015"
2016.04,영등포구,"192,383","43,544","12,264","126,305","1,543","6,576",539,"117,647","10,270",10,5,"10,256"
2016.04,동작구,"95,298","39,481","8,959","45,590",431,"2,143",91,"42,924","1,269",5,-,"1,263"
2016.04,관악구,"129,528","50,765","18,508","57,661",-,946,93,"56,622","2,594",9,-,"2,585"
2016.04,서초구,"260,946","51,627","14,972","193,298","42,088","2,341",778,"148,091","1,048",256,7,786
2016.04,강남구,"338,658","67,408","8,977","260,945","2,521","5,078","1,316","252,031","1,329",84,-,"1,244"
2016.04,송파구,"202,653","67,377","6,614","125,689","3,870","5,632",262,"115,925","2,973",98,-,"2,875"
2016.04,강동구,"114,219","42,643","4,470","64,510",-,"11,535",155,"52,820","2,596",220,1,"2,375"
2016.05,합계,"3,340,823","975,662","258,272","1,971,512","110,298","52,696","7,508","1,801,010","135,377","1,030",268,"134,079"
2016.05,종로구,"126,840","18,126","18,643","84,622",-,221,160,"84,240","5,449",7,32,"5,410"
2016.05,중구,"189,720","13,805","7,403","151,726",-,26,733,"150,966","16,787",2,12,"16,773"
2016.05,용산구,"96,988","28,086","23,535","43,536",530,498,39,"42,468","1,831",0,6,"1,825"
2016.05,성동구,"139,011","29,113","35,792","51,213",396,"2,794",238,"47,785","22,894",2,34,"22,857"
2016.05,광진구,"116,976","33,214","6,745","74,502","23,016","3,508",195,"47,784","2,515",19,7,"2,489"
2016.05,동대문구,"101,655","35,720","8,100","52,139","4,350",733,148,"46,909","5,695",16,5,"5,675"
2016.05,중랑구,"78,407","37,399","2,067","34,887",106,459,148,"34,174","4,054",33,3,"4,018"
2016.05,성북구,"103,956","43,858","14,685","41,574",-,"1,501",76,"39,997","3,839",25,1,"3,813"
2016.05,강북구,"65,083","29,366","2,722","30,267",-,626,56,"29,585","2,728",9,-,"2,719"
2016.05,도봉구,"64,669","31,475","2,934","25,740",-,530,95,"25,115","4,521",27,-,"4,494"
2016.05,노원구,"108,841","51,141","10,139","44,928",-,"1,212",273,"43,444","2,633",11,-,"2,622"
2016.05,은평구,"95,807","44,758","4,084","45,856","9,604",727,166,"35,359","1,109",10,3,"1,096"
2016.05,서대문구,"90,371","30,830","21,650","36,530",-,"1,010",15,"35,505","1,362",4,0,"1,357"
2016.05,마포구,"149,359","40,299","10,246","96,311","1,004",809,703,"93,795","2,503",11,0,"2,492"
2016.05,양천구,"114,511","46,787","3,823","62,278",-,733,202,"61,344","1,624",11,12,"1,600"
2016.05,강서구,"149,239","56,294","16,072","72,230","2,268",426,164,"69,372","4,643",280,96,"4,267"
2016.05,구로구,"139,762","41,865","3,262","86,083","19,398",747,243,"65,695","8,553",13,46,"8,494"
2016.05,금천구,"117,599","20,785","1,311","73,000",-,296,97,"72,607","22,502",13,0,"22,489"
2016.05,영등포구,"194,150","41,473","11,141","132,188","1,478","7,123",551,"123,037","9,349",8,3,"9,337"
2016.05,동작구,"91,774","36,878","8,142","45,424",402,"2,259",91,"42,671","1,330",4,-,"1,325"
2016.05,관악구,"119,238","47,313","15,025","54,642",-,945,89,"53,608","2,259",8,-,"2,250"
2016.05,서초구,"253,137","49,343","13,888","189,012","41,459","2,408","1,300","143,844",895,209,5,680
2016.05,강남구,"325,237","64,555","7,953","251,490","2,499","4,936","1,318","242,736","1,239",61,-,"1,179"
2016.05,송파구,"199,745","63,143","5,112","128,705","3,789","6,044",254,"118,618","2,786",89,-,"2,697"
2016.05,강동구,"108,747","40,038","3,800","62,631",-,"12,125",153,"50,353","2,278",158,1,"2,119"
2016.06,합계,"3,715,673","1,022,496","297,492","2,248,210","120,079","53,584","7,328","2,067,220","147,476","1,082",308,"146,085"
2016.06,종로구,"146,705","19,598","22,047","98,962",-,238,189,"98,535","6,098",8,41,"6,049"
2016.06,중구,"219,515","14,843","8,635","177,222",-,26,895,"176,301","18,815",3,17,"18,796"
2016.06,용산구,"112,611","30,581","28,531","51,474",597,523,49,"50,306","2,026",1,9,"2,016"
2016.06,성동구,"151,921","30,796","37,568","58,282",392,"2,800",271,"54,819","25,274",3,39,"25,232"
2016.06,광진구,"132,573","35,414","8,316","86,046","25,685","3,574",196,"56,590","2,797",17,7,"2,773"
2016.06,동대문구,"113,498","37,580","9,468","60,422","4,794",774,173,"54,682","6,029",23,5,"6,002"
2016.06,중랑구,"85,785","38,921","2,517","39,962",110,483,158,"39,211","4,384",37,3,"4,344"
2016.06,성북구,"114,702","45,527","17,601","47,414",-,"1,585",77,"45,752","4,159",23,1,"4,135"
2016.06,강북구,"70,798","30,310","3,231","34,340",-,657,78,"33,606","2,917",10,-,"2,907"
2016.06,도봉구,"70,405","32,489","3,606","29,370",-,568,112,"28,690","4,940",28,-,"4,912"
2016.06,노원구,"119,047","52,821","11,417","51,930",-,"1,258",278,"50,394","2,879",10,-,"2,870"
2016.06,은평구,"102,954","45,748","4,963","51,053","10,319",760,160,"39,814","1,190",11,2,"1,176"
2016.06,서대문구,"100,211","32,095","24,889","41,780",-,"1,048",23,"40,708","1,448",5,0,"1,443"
2016.06,마포구,"166,819","43,537","11,694","108,916","1,217",839,850,"106,010","2,672",12,0,"2,660"
2016.06,양천구,"122,030","48,307","4,401","67,603",-,755,215,"66,633","1,720",14,10,"1,696"
2016.06,강서구,"162,518","58,382","16,341","82,670","2,367",441,163,"79,699","5,125",310,113,"4,702"
2016.06,구로구,"148,738","43,329","3,816","92,568","20,423",778,268,"71,099","9,025",17,49,"8,959"
2016.06,금천구,"130,229","21,608","1,642","82,404",-,306,114,"81,984","24,574",11,1,"24,562"
2016.06,영등포구,"218,307","43,515","12,597","152,184","1,589","7,232",658,"142,705","10,011",8,2,"10,001"
2016.06,동작구,"101,761","38,472","9,994","51,885",464,"2,291",111,"49,019","1,411",4,-,"1,407"
2016.06,관악구,"130,717","49,385","17,442","61,612",-,916,100,"60,596","2,278",7,-,"2,271"
2016.06,서초구,"286,038","52,155","16,308","216,626","45,382","2,408","1,066","167,771",948,211,7,731
2016.06,강남구,"375,514","69,188","9,528","295,391","2,705","4,805",676,"287,204","1,408",63,-,"1,345"
2016.06,송파구,"211,902","66,003","6,232","136,707","4,035","6,190",286,"126,196","2,961",81,-,"2,880"
2016.06,강동구,"120,377","41,892","4,709","71,388",-,"12,330",162,"58,896","2,387",167,1,"2,219"
2016.07,합계,"4,101,888","1,113,759","328,287","2,503,542","130,180","55,919","8,349","2,309,094","156,300","1,121",291,"154,888"
2016.07,종로구,"162,006","21,641","24,320","109,972",-,228,170,"109,573","6,073",7,43,"6,023"
2016.07,중구,"242,790","16,521","9,373","197,124",-,27,987,"196,110","19,772",4,18,"19,751"
2016.07,용산구,"124,926","34,023","31,368","57,641",616,515,56,"56,454","1,894",1,9,"1,884"
2016.07,성동구,"163,815","33,195","38,930","64,657",465,"3,427",313,"60,453","27,032",4,35,"26,993"
2016.07,광진구,"147,669","39,083","9,034","96,395","28,908","3,879",190,"63,417","3,157",17,5,"3,135"
2016.07,동대문구,"124,974","40,538","10,521","67,723","5,535",763,163,"61,262","6,192",30,7,"6,154"
2016.07,중랑구,"93,919","41,847","3,012","44,161",116,476,159,"43,410","4,899",38,4,"4,858"
2016.07,성북구,"122,769","48,336","18,198","52,103",-,"1,594",124,"50,385","4,133",25,1,"4,107"
2016.07,강북구,"76,765","32,081","3,824","37,734",-,648,85,"37,001","3,126",10,-,"3,115"
2016.07,도봉구,"76,241","34,480","4,238","32,307",-,557,117,"31,632","5,216",26,-,"5,190"
2016.07,노원구,"128,846","55,948","12,638","57,099",-,"1,245",362,"55,491","3,160",10,-,"3,151"
2016.07,은평구,"111,979","48,587","6,061","56,035","10,668",761,192,"44,414","1,295",11,2,"1,282"
2016.07,서대문구,"110,195","35,066","27,718","45,915",-,"1,028",31,"44,857","1,495",5,0,"1,489"
2016.07,마포구,"184,809","47,816","12,305","122,077","1,626",845,"1,078","118,528","2,610",12,0,"2,597"
2016.07,양천구,"134,938","52,458","5,495","75,088",-,758,215,"74,115","1,898",16,11,"1,870"
2016.07,강서구,"178,781","62,929","18,300","91,928","2,560",434,136,"88,797","5,625",341,93,"5,190"
2016.07,구로구,"163,165","46,923","4,338","102,358","20,236",776,277,"81,069","9,546",17,49,"9,481"
2016.07,금천구,"144,215","23,169","2,026","92,598",-,302,120,"92,176","26,422",13,1,"26,408"
2016.07,영등포구,"243,731","48,485","14,118","170,522","1,656","7,700",722,"160,443","10,606",9,3,"10,594"
2016.07,동작구,"111,133","41,392","10,653","57,515",587,"2,356",116,"54,456","1,574",7,-,"1,567"
2016.07,관악구,"143,633","53,220","19,514","68,501",-,939,100,"67,462","2,398",7,-,"2,391"
2016.07,서초구,"318,810","59,338","18,338","240,126","49,384","2,483","1,140","187,118","1,009",208,8,793
2016.07,강남구,"424,430","79,953","10,877","332,102","3,629","5,211","1,054","322,209","1,498",67,-,"1,431"
2016.07,송파구,"235,705","71,558","7,498","153,557","4,194","6,494",273,"142,595","3,092",74,-,"3,018"
2016.07,강동구,"131,647","45,174","5,590","78,305",-,"12,472",168,"65,665","2,579",162,1,"2,416"
2016.08,합계,"4,852,558","1,476,034","338,180","2,855,330","151,549","56,961","8,778","2,638,042","183,013","1,262",276,"181,476"
2016.08,종로구,"184,764","27,572","26,352","124,680",-,240,297,"124,143","6,160",8,44,"6,108"
2016.08,중구,"269,147","21,858","10,306","215,664",-,29,"1,030","214,605","21,320",5,20,"21,295"
2016.08,용산구,"151,127","46,409","35,595","67,080",661,538,86,"65,794","2,042",1,11,"2,031"
2016.08,성동구,"189,493","44,803","29,850","73,409",540,"3,516",343,"69,011","41,430",4,38,"41,388"
2016.08,광진구,"178,816","53,196","9,619","112,376","33,910","3,885",250,"74,331","3,625",18,5,"3,602"
2016.08,동대문구,"150,956","53,610","11,169","78,767","6,707",792,193,"71,075","7,409",23,8,"7,378"
2016.08,중랑구,"115,505","55,338","2,792","51,352",123,492,174,"50,563","6,023",44,4,"5,975"
2016.08,성북구,"148,615","63,401","20,170","60,423",-,"1,605",132,"58,686","4,622",28,1,"4,593"
2016.08,강북구,"94,566","42,093","4,053","44,696",-,676,108,"43,912","3,723",12,-,"3,712"
2016.08,도봉구,"93,132","45,405","4,423","37,711",-,581,120,"37,010","5,594",29,-,"5,565"
2016.08,노원구,"155,596","73,017","12,919","66,115",-,"1,289",404,"64,422","3,545",10,-,"3,535"
2016.08,은평구,"137,288","63,840","6,161","65,769","12,324",786,205,"52,454","1,519",14,3,"1,502"
2016.08,서대문구,"130,993","46,021","29,983","53,354",-,"1,054",38,"52,262","1,635",7,1,"1,627"
2016.08,마포구,"218,583","64,536","12,687","138,593","1,758",840,847,"135,149","2,767",14,0,"2,752"
2016.08,양천구,"163,048","69,397","5,607","85,911",-,783,251,"84,877","2,133",19,12,"2,103"
2016.08,강서구,"215,477","84,325","18,035","107,203","2,980",446,192,"103,586","5,915",362,72,"5,481"
2016.08,구로구,"193,056","62,213","4,429","116,511","22,737",808,306,"92,660","9,902",21,43,"9,839"
2016.08,금천구,"164,676","31,049","2,009","103,440",-,317,132,"102,990","28,178",13,1,"28,163"
2016.08,영등포구,"280,415","63,285","15,245","190,076","2,042","7,729",837,"179,468","11,808",12,4,"11,792"
2016.08,동작구,"135,512","55,171","11,577","66,977",664,"2,399",151,"63,763","1,787",8,-,"1,780"
2016.08,관악구,"175,952","70,217","21,948","80,927",-,956,105,"79,865","2,860",10,-,"2,851"
2016.08,서초구,"373,888","79,476","19,190","274,076","58,223","2,595","1,371","211,887","1,146",249,8,889
2016.08,강남구,"494,770","105,244","10,859","377,006","4,194","5,093",711,"367,008","1,662",79,-,"1,582"
2016.08,송파구,"279,187","94,947","7,693","173,213","4,687","6,612",300,"161,615","3,333",85,-,"3,248"
2016.08,강동구,"157,996","59,610","5,511","90,000",-,"12,900",193,"76,906","2,875",187,1,"2,687"
2016.09,합계,"4,206,131","1,235,089","313,664","2,483,792","136,944","53,689","8,593","2,284,566","173,587","1,233",282,"172,072"
2016.09,종로구,"157,380","23,153","23,125","104,708",-,241,298,"104,169","6,394",8,48,"6,338"
2016.09,중구,"228,910","17,616","9,179","181,647",-,21,858,"180,767","20,468",4,15,"20,448"
2016.09,용산구,"129,671","37,474","31,836","58,244",601,530,393,"56,721","2,117",2,9,"2,106"
2016.09,성동구,"171,264","39,423","27,150","64,728",461,"3,310",365,"60,591","39,963",4,31,"39,928"
2016.09,광진구,"151,837","42,901","8,563","96,903","30,699","3,649",266,"62,290","3,470",18,7,"3,444"
2016.09,동대문구,"133,783","46,158","10,218","70,115","5,868",775,179,"63,293","7,292",23,7,"7,262"
2016.09,중랑구,"101,727","46,796","3,020","46,134",102,484,157,"45,391","5,778",47,3,"5,728"
2016.09,성북구,"131,735","55,252","18,037","54,002",-,"1,587",126,"52,289","4,443",29,1,"4,413"
2016.09,강북구,"84,377","36,854","3,791","40,075",-,662,72,"39,341","3,657",11,-,"3,646"
2016.09,도봉구,"81,330","37,898","4,055","33,984",-,569,112,"33,302","5,393",29,-,"5,364"
2016.09,노원구,"135,509","60,902","12,590","58,603",-,"1,282",414,"56,907","3,414",10,-,"3,404"
2016.09,은평구,"123,254","56,461","6,036","59,251","11,429",775,211,"46,837","1,507",14,2,"1,491"
2016.09,서대문구,"111,474","38,135","25,385","46,395",-,"1,049",44,"45,303","1,559",5,0,"1,553"
2016.09,마포구,"188,276","53,418","11,910","120,236","1,439",846,"1,058","116,893","2,712",14,1,"2,697"
2016.09,양천구,"148,814","59,351","5,485","82,031",-,768,245,"81,018","1,948",15,9,"1,923"
2016.09,강서구,"192,081","72,394","17,886","96,352","2,960",444,191,"92,757","5,448",349,89,"5,010"
2016.09,구로구,"164,446","51,750","4,459","98,893","20,878",798,279,"76,938","9,344",19,44,"9,281"
2016.09,금천구,"139,958","26,318","2,082","86,377",-,312,129,"85,936","25,182",13,1,"25,168"
2016.09,영등포구,"237,898","51,794","14,556","160,953","2,022","7,326",705,"150,901","10,594",10,5,"10,579"
2016.09,동작구,"116,973","46,603","10,991","57,774",684,"2,251",129,"54,709","1,604",8,-,"1,597"
2016.09,관악구,"156,854","59,978","21,523","72,638",-,930,103,"71,604","2,715",10,-,"2,705"
2016.09,서초구,"324,778","62,746","18,553","242,380","51,363","2,411","1,121","187,485","1,099",243,8,848
2016.09,강남구,"415,993","81,171","10,280","322,976","4,071","4,735",653,"313,517","1,567",73,-,"1,494"
2016.09,송파구,"242,842","81,954","7,627","150,115","4,368","6,264",307,"139,175","3,146",87,-,"3,058"
2016.09,강동구,"134,966","48,589","5,326","78,276",0,"11,669",177,"66,429","2,776",188,1,"2,586"
2016.1,합계,"3,436,055","981,734","256,360","2,047,495","117,417","53,619","7,165","1,869,293","150,466","1,010",254,"149,203"
2016.1,종로구,"128,383","18,537","19,173","85,567",-,222,226,"85,120","5,106",6,37,"5,064"
2016.1,중구,"190,255","14,021","7,501","151,863",-,33,763,"151,067","16,870",3,13,"16,855"
2016.1,용산구,"102,304","28,723","25,667","46,143",586,500,44,"45,013","1,771",2,7,"1,762"
2016.1,성동구,"144,899","30,267","23,216","53,681",429,"3,355",264,"49,633","37,734",3,22,"37,709"
2016.1,광진구,"122,274","33,621","6,881","78,999","25,120","4,086",218,"49,575","2,773",16,7,"2,750"
2016.1,동대문구,"104,802","35,956","8,349","54,748","4,505",753,192,"49,297","5,749",19,5,"5,725"
2016.1,중랑구,"80,965","37,531","2,178","36,744",106,465,148,"36,025","4,513",35,3,"4,475"
2016.1,성북구,"105,938","43,604","15,142","43,537",-,"1,531",92,"41,914","3,655",22,1,"3,633"
2016.1,강북구,"67,083","29,213","2,884","31,988",-,629,56,"31,303","2,999",8,-,"2,991"
2016.1,도봉구,"65,578","31,074","2,956","27,062",-,536,104,"26,421","4,485",24,-,"4,462"
2016.1,노원구,"111,003","50,588","10,856","46,634",-,"1,223",275,"45,136","2,925",12,-,"2,913"
2016.1,은평구,"98,795","44,424","4,483","48,670","10,274",755,188,"37,453","1,217",11,2,"1,205"
2016.1,서대문구,"91,844","31,437","21,457","37,637",-,"1,015",37,"36,585","1,314",4,0,"1,310"
2016.1,마포구,"153,800","39,196","10,563","101,785","1,116",806,853,"99,011","2,255",13,1,"2,242"
2016.1,양천구,"122,216","46,911","4,161","69,580",-,744,208,"68,628","1,564",11,11,"1,541"
2016.1,강서구,"155,605","57,073","16,634","77,221","2,461",436,182,"74,142","4,678",285,96,"4,296"
2016.1,구로구,"140,815","41,738","3,385","87,076","19,054",764,220,"67,038","8,616",18,39,"8,559"
2016.1,금천구,"120,566","21,106","1,427","75,215",-,305,109,"74,801","22,817",11,1,"22,806"
2016.1,영등포구,"195,469","41,585","12,018","133,151","1,683","7,230",593,"123,646","8,714",8,3,"8,703"
2016.1,동작구,"94,957","37,070","8,670","47,882",507,"2,248",103,"45,024","1,334",7,-,"1,328"
